name,category,formula,available,scale_free,duplicate_of,notes
price_momentum,momentum,"(CLOSE - DELAY(CLOSE, 14))",True,False,,"Dollar change, not a return: a $500 stock outranks a $20 stock for arithmetic reasons. Compare with momentum_oscillator, its scale-free twin."
volume_momentum,momentum,"(VOLUME - DELAY(VOLUME, 14))",True,False,,Share-count change; dominated by large-float names.
rsi_momentum,momentum,"(RSI - DELAY(RSI, 14))",True,True,,
roc,momentum,"((CLOSE / DELAY(CLOSE, 14)) - 1)",True,True,,Algebraically identical to momentum_oscillator below; A.3 lists both.
macd_momentum,momentum,"(MACD - DELAY(MACD, 14))",True,False,,"MACD is an EMA difference in dollars, so it scales with price."
momentum_oscillator,momentum,"((CLOSE - DELAY(CLOSE, 14)) / DELAY(CLOSE, 14))",True,True,roc,"Identical expression to roc. Kept so the category count matches A.3, but a 'diversified' selection picking both is picking one factor twice."
cmo,momentum,"(SUM(IF(CLOSE-DELAY(CLOSE,1)>0, CLOSE-DELAY(CLOSE,1), 0), 14) - SUM(IF(...<0, ...,0),14)) / (SUM(...)+SUM(...)) * 100",True,True,,
smi,momentum,"((CLOSE - MIN(LOW,14)) - (MAX(HIGH,14) - CLOSE)) / (MAX(HIGH,14) - MIN(LOW,14))",True,True,,
atr_momentum,momentum,"(ATR - DELAY(ATR, 14))",True,False,,
dpo,momentum,"(CLOSE - DELAY(SMA(CLOSE, 14), 7))",True,False,,The worked example in A.1/Figure 4. Dollar-denominated.
adx_momentum,momentum,"(ADX - DELAY(ADX, 14))",True,True,,
mean_reversion,mean_reversion,"(MEAN(CLOSE, 20) - CLOSE)",True,False,,"MEAN and SMA are the same operator, so this is identical to ma_reversion."
zscore_reversion,mean_reversion,"(CLOSE - MEAN(CLOSE, 20)) / STD(CLOSE, 20)",True,True,,
bollinger_position,mean_reversion,(CLOSE - LOWER_BAND) / (UPPER_BAND - LOWER_BAND),True,True,,k=2.0 on a 20-day SMA (A.3 does not state the band width).
keltner_position,mean_reversion,(CLOSE - LOWER_CHANNEL) / (UPPER_CHANNEL - LOWER_CHANNEL),True,True,,EMA(20) centre with 2x ATR(10) bands; A.3 specifies neither.
ma_reversion,mean_reversion,"(SMA(CLOSE, 20) - CLOSE)",True,False,mean_reversion,
ema_reversion,mean_reversion,"(EMA(CLOSE, 20) - CLOSE)",True,False,,
distance_from_high,mean_reversion,"(MAX(HIGH, 20) - CLOSE)",True,False,,
distance_from_low,mean_reversion,"(CLOSE - MIN(LOW, 20))",True,False,,
rsi_reversion,mean_reversion,(100 - RSI),True,True,,
percent_b,mean_reversion,((CLOSE - LOWER_BAND) / (UPPER_BAND - LOWER_BAND)) * 100,True,True,bollinger_position,"bollinger_position times 100 -- an identical ranking, listed twice by A.3."
std_dev,volatility,"STD(CLOSE, 20)",True,False,,Dollar standard deviation; higher-priced stocks rank higher mechanically.
atr,volatility,ATR(14),True,False,,
bollinger_width,volatility,"(UPPER_BAND - LOWER_BAND) / SMA(CLOSE, 20)",True,True,,
historical_volatility,volatility,"STD(RETURNS, 20) * SQRT(252)",True,True,,
